    PID USER     CGROUP
      1 root     0::/init.scope
      2 root     -
      3 root     -
      4 root     -
      5 root     -
      6 root     -
     10 root     -
     11 root     -
     12 root     -
     13 root     -
     14 root     -
     15 root     -
     16 root     -
     18 root     -
     19 root     -
     20 root     -
     21 root     -
     23 root     -
     26 root     -
     27 root     -
     28 root     -
     29 root     -
     30 root     -
     32 root     -
     33 root     -
     34 root     -
     36 root     -
     37 root     -
     38 root     -
     39 root     -
     40 root     -
     41 root     -
     42 root     -
     43 root     -
     44 root     -
     50 root     -
     52 root     -
     54 root     -
     55 root     -
     60 root     -
     65 root     -
     66 root     -
    110 root     -
    137 root     -
    138 root     -
    139 root     -
    141 root     -
    143 root     -
    144 root     -
    145 root     -
    146 root     -
    153 root     -
    183 root     -
    184 root     -
    226 root     0::/system.slice/systemd-journald.service
    250 root     0::/system.slice/systemd-udevd.service/udev
    288 root     -
    289 root     -
    294 root     -
    297 root     -
    344 root     -
    467 systemd+ 0::/system.slice/systemd-timesyncd.service
    470 root     0::/system.slice/auditd.service
    474 root     0::/system.slice/vgauth.service
    475 root     0::/system.slice/open-vm-tools.service
    515 root     0::/system.slice/cron.service
    516 message+ 0::/system.slice/dbus.service
    521 root     0::/system.slice/systemd-logind.service
    612 root     0::/user.slice/user-1000.slice/session-1.scope
    629 root     0::/system.slice/ssh.service
    763 Tom      0::/user.slice/user-1000.slice/user@1000.service/init.scope
    764 Tom      0::/user.slice/user-1000.slice/user@1000.service/init.scope
    770 Tom      0::/user.slice/user-1000.slice/session-1.scope
   1271 root     -
   1294 root     -
   1514 Tom      0::/user.slice/user-1000.slice/session-1.scope
   1519 root     -
   1548 root     -
   1553 root     -
   1554 root     -
   1557 root     0::/user.slice/user-1000.slice/session-1.scope
   1558 root     0::/user.slice/user-1000.slice/session-1.scope
   1624 root     -
   1627 root     -
   1811 root     0::/user.slice/user-1000.slice/session-1.scope
   2290 root     0::/system.slice/systemd-timedated.service
   3101 root     0::/user.slice/user-1000.slice/session-1.scope
   3557 root     0::/user.slice/user-1000.slice/session-1.scope
