F S UID          PID    PPID  C PRI  NI ADDR SZ WCHAN  STIME TTY          TIME CMD
4 S root           1       0  0  80   0 - 25529 do_epo Sep14 ?        00:00:02 /sbin/init
1 S root           2       0  0  80   0 -     0 kthrea Sep14 ?        00:00:00 [kthreadd]
1 I root           3       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [rcu_gp]
1 I root           4       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [rcu_par_gp]
1 I root           5       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [slub_flushwq]
1 I root           6       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [netns]
1 I root          10       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [mm_percpu_wq]
1 I root          11       2  0  80   0 -     0 rcu_ta Sep14 ?        00:00:00 [rcu_tasks_kthread]
1 I root          12       2  0  80   0 -     0 rcu_ta Sep14 ?        00:00:00 [rcu_tasks_rude_kthread]
1 I root          13       2  0  80   0 -     0 rcu_ta Sep14 ?        00:00:00 [rcu_tasks_trace_kthread]
1 S root          14       2  0  80   0 -     0 smpboo Sep14 ?        00:00:00 [ksoftirqd/0]
1 I root          15       2  0  80   0 -     0 rcu_gp Sep14 ?        00:00:01 [rcu_preempt]
1 S root          16       2  0 -40   - -     0 smpboo Sep14 ?        00:00:00 [migration/0]
1 S root          18       2  0  80   0 -     0 smpboo Sep14 ?        00:00:00 [cpuhp/0]
5 S root          19       2  0  80   0 -     0 smpboo Sep14 ?        00:00:00 [cpuhp/1]
1 S root          20       2  0 -40   - -     0 smpboo Sep14 ?        00:00:00 [migration/1]
1 S root          21       2  0  80   0 -     0 smpboo Sep14 ?        00:00:00 [ksoftirqd/1]
1 I root          23       2  0  60 -20 -     0 worker Sep14 ?        00:00:00 [kworker/1:0H-events_highpri]
5 S root          26       2  0  80   0 -     0 devtmp Sep14 ?        00:00:00 [kdevtmpfs]
1 I root          27       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [inet_frag_wq]
1 S root          28       2  0  80   0 -     0 kaudit Sep14 ?        00:00:00 [kauditd]
1 S root          29       2  0  80   0 -     0 watchd Sep14 ?        00:00:00 [khungtaskd]
1 S root          30       2  0  80   0 -     0 oom_re Sep14 ?        00:00:00 [oom_reaper]
1 I root          32       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [writeback]
1 S root          33       2  0  80   0 -     0 kcompa Sep14 ?        00:00:02 [kcompactd0]
1 S root          34       2  0  85   5 -     0 ksm_sc Sep14 ?        00:00:00 [ksmd]
1 S root          36       2  0  99  19 -     0 khugep Sep14 ?        00:00:01 [khugepaged]
1 I root          37       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [kintegrityd]
1 I root          38       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [kblockd]
1 I root          39       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [blkcg_punt_bio]
1 I root          40       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [tpm_dev_wq]
1 I root          41       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [edac-poller]
1 I root          42       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [devfreq_wq]
1 I root          43       2  0  60 -20 -     0 worker Sep14 ?        00:00:00 [kworker/1:1H-kblockd]
1 S root          44       2  0  80   0 -     0 kswapd Sep14 ?        00:00:00 [kswapd0]
1 I root          50       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [kthrotld]
1 I root          52       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [acpi_thermal_pm]
1 I root          54       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [mld]
1 I root          55       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [ipv6_addrconf]
1 I root          60       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [kstrp]
1 I root          65       2  0  60 -20 -     0 rescue Sep14 ?        00:00:00 [zswap-shrink]
