2026-09-10 21:57:48 startup archives unpack
2026-09-10 21:57:48 install libauparse0:amd64 <none> 1:3.0.9-1
2026-09-10 21:57:48 status triggers-pending libc-bin:amd64 2.36-9+deb12u14
2026-09-10 21:57:48 status half-installed libauparse0:amd64 1:3.0.9-1
2026-09-10 21:57:48 status unpacked libauparse0:amd64 1:3.0.9-1
2026-09-10 21:57:48 install auditd:amd64 <none> 1:3.0.9-1
2026-09-10 21:57:48 status half-installed auditd:amd64 1:3.0.9-1
2026-09-10 21:57:48 status triggers-pending man-db:amd64 2.11.2-2
2026-09-10 21:57:48 status unpacked auditd:amd64 1:3.0.9-1
2026-09-10 21:57:48 install audispd-plugins:amd64 <none> 1:3.0.9-1
2026-09-10 21:57:48 status half-installed audispd-plugins:amd64 1:3.0.9-1
2026-09-10 21:57:48 status unpacked audispd-plugins:amd64 1:3.0.9-1
2026-09-10 21:57:48 startup packages configure
2026-09-10 21:57:48 configure libauparse0:amd64 1:3.0.9-1 <none>
2026-09-10 21:57:48 status unpacked libauparse0:amd64 1:3.0.9-1
2026-09-10 21:57:48 status half-configured libauparse0:amd64 1:3.0.9-1
2026-09-10 21:57:48 status installed libauparse0:amd64 1:3.0.9-1
2026-09-10 21:57:48 configure auditd:amd64 1:3.0.9-1 <none>
2026-09-10 21:57:48 status unpacked auditd:amd64 1:3.0.9-1
2026-09-10 21:57:48 status half-configured auditd:amd64 1:3.0.9-1
2026-09-10 21:57:49 status installed auditd:amd64 1:3.0.9-1
2026-09-10 21:57:49 configure audispd-plugins:amd64 1:3.0.9-1 <none>
2026-09-10 21:57:49 status unpacked audispd-plugins:amd64 1:3.0.9-1
2026-09-10 21:57:49 status half-configured audispd-plugins:amd64 1:3.0.9-1
2026-09-10 21:57:49 status installed audispd-plugins:amd64 1:3.0.9-1
2026-09-10 21:57:49 trigproc man-db:amd64 2.11.2-2 <none>
2026-09-10 21:57:49 status half-configured man-db:amd64 2.11.2-2
2026-09-10 21:57:50 status installed man-db:amd64 2.11.2-2
2026-09-10 21:57:50 trigproc libc-bin:amd64 2.36-9+deb12u14 <none>
2026-09-10 21:57:50 status half-configured libc-bin:amd64 2.36-9+deb12u14
2026-09-10 21:57:50 status installed libc-bin:amd64 2.36-9+deb12u14
2026-09-10 23:15:38 startup archives unpack
2026-09-10 23:15:38 install liberror-perl:all <none> 0.17029-2
2026-09-10 23:15:38 status half-installed liberror-perl:all 0.17029-2
2026-09-10 23:15:38 status triggers-pending man-db:amd64 2.11.2-2
2026-09-10 23:15:38 status unpacked liberror-perl:all 0.17029-2
2026-09-10 23:15:38 install git-man:all <none> 1:2.39.5-0+deb12u3
2026-09-10 23:15:38 status half-installed git-man:all 1:2.39.5-0+deb12u3
2026-09-10 23:15:38 status unpacked git-man:all 1:2.39.5-0+deb12u3
2026-09-10 23:15:38 install git:amd64 <none> 1:2.39.5-0+deb12u3
2026-09-10 23:15:38 status half-installed git:amd64 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 status unpacked git:amd64 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 install patch:amd64 <none> 2.7.6-7
2026-09-10 23:15:39 status half-installed patch:amd64 2.7.6-7
2026-09-10 23:15:39 status unpacked patch:amd64 2.7.6-7
2026-09-10 23:15:39 startup packages configure
2026-09-10 23:15:39 configure liberror-perl:all 0.17029-2 <none>
2026-09-10 23:15:39 status unpacked liberror-perl:all 0.17029-2
2026-09-10 23:15:39 status half-configured liberror-perl:all 0.17029-2
2026-09-10 23:15:39 status installed liberror-perl:all 0.17029-2
2026-09-10 23:15:39 configure patch:amd64 2.7.6-7 <none>
2026-09-10 23:15:39 status unpacked patch:amd64 2.7.6-7
2026-09-10 23:15:39 status half-configured patch:amd64 2.7.6-7
2026-09-10 23:15:39 status installed patch:amd64 2.7.6-7
2026-09-10 23:15:39 configure git-man:all 1:2.39.5-0+deb12u3 <none>
2026-09-10 23:15:39 status unpacked git-man:all 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 status half-configured git-man:all 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 status installed git-man:all 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 configure git:amd64 1:2.39.5-0+deb12u3 <none>
2026-09-10 23:15:39 status unpacked git:amd64 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 status half-configured git:amd64 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 status installed git:amd64 1:2.39.5-0+deb12u3
2026-09-10 23:15:39 trigproc man-db:amd64 2.11.2-2 <none>
