Plugin,Version,Hive,Description
tsclient,20200518,NTUSER.DAT,Displays contents of user's Terminal Server Client\Default key
uac,20200427,Software,Get Select User Account Control (UAC) Values from HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System
shellfolders,20200515,NTUSER.DAT,Gets user's shell folders values
wab_tln,20191122,Software,Get WAB DLLPath settings
attachmgr_tln,20130425,NTUSER.DAT,Checks user's keys that manage the Attachment Manager functionality (TLN)
dcom,20200525,Software,Check DCOM Ports
shellbags_tln,20180702,USRCLASS.DAT,Shell/BagMRU traversal in Win7 USRCLASS.DAT hives
tasks_tln,20200416,Software,Checks TaskCache\Tasks subkeys
killsuit,20200427,Software,Check for indications of Danderspritz Killsuit installation
termcert,20200526,System,Gets Terminal Server certificate
disableuserassist,20230710,NTUSER.DAT,Get Start_TrackEnabled and Start_TrackProgs values which confirm if UserAssist was disabled.
mmc_tln,20120828,NTUSER.DAT,Get contents of user's MMC\Recent File List key (TLN)
direct,20200515,Software,Searches Direct* keys for MostRecentApplication subkeys
ntds,20200427,System,Parse Services NTDS key for specific persistence values
typedurlstime,20200526,NTUSER.DAT,Returns contents of user's TypedURLsTime key.
speech_tln,20191010,NTUSER.DAT,Get values from user's Speech key
knowndev,20200515,NTUSER.DAT,Gets user's KnownDevices key contents
shc,20200427,NTUSER.DAT,Gets SHC entries from user hive
featureusage,20200511,NTUSER.DAT,Extracts user's FeatureUsage data.
execpolicy,20200517,Software,Gets PowerShell Execution Policy
uninstall,20200525,Software, NTUSER.DAT,Gets contents of Uninstall keys from Software, NTUSER.DAT hives
typedurls,20200526,NTUSER.DAT,Returns contents of user's TypedURLs key.
auditpol,20200515,Security,Get audit policy from the Security hive file
wbem,20200511,Software,Get some contents from WBEM key
killsuit_tln,20200414,Software,Check for indications of Danderspritz Killsuit installation
run_tln,20221222,Software, NTUSER.DAT,[Autostart] Get autostart key contents from Software & ntuser.dat hives
sysinternals,20080324,NTUSER.DAT,Checks for SysInternals apps keys
networklist,20200518,Software,Collects network info from NetworkList key
lsa,20200517,System,Lists specific contents of LSA key
jumplistdata,20200517,NTUSER.DAT,Gets contents of user's JumpListData key
shimcache,20220921,System,Parse file refs from System hive AppCompatCache data
ica_sessions,20200528,Software,ARETE ONLY - Extracts Citrix ICA Session info
mixer,20200517,NTUSER.DAT,Checks user's audio mixer settings
lxss_tln,20140723,NTUSER.DAT,Gets WSL config.
wordwheelquery_tln,20200824,NTUSER.DAT,Gets contents of user's WordWheelQuery key
allowedenum,20200511,NTUSER.DAT, Software,Extracts AllowedEnumeration values to determine hidden special folders
typedurls_tln,20120827,NTUSER.DAT,Returns MRU for user's TypedURLs key (TLN)
lastloggedon,20200517,Software,Gets LastLoggedOn* values from LogonUI key
