UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 Sep14 ?        00:00:02 /sbin/init
root           2       0  0 Sep14 ?        00:00:00 [kthreadd]
root           3       2  0 Sep14 ?        00:00:00 [rcu_gp]
root           4       2  0 Sep14 ?        00:00:00 [rcu_par_gp]
root           5       2  0 Sep14 ?        00:00:00 [slub_flushwq]
root           6       2  0 Sep14 ?        00:00:00 [netns]
root          10       2  0 Sep14 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 Sep14 ?        00:00:00 [rcu_tasks_kthread]
root          12       2  0 Sep14 ?        00:00:00 [rcu_tasks_rude_kthread]
root          13       2  0 Sep14 ?        00:00:00 [rcu_tasks_trace_kthread]
root          14       2  0 Sep14 ?        00:00:00 [ksoftirqd/0]
root          15       2  0 Sep14 ?        00:00:01 [rcu_preempt]
root          16       2  0 Sep14 ?        00:00:00 [migration/0]
root          18       2  0 Sep14 ?        00:00:00 [cpuhp/0]
root          19       2  0 Sep14 ?        00:00:00 [cpuhp/1]
root          20       2  0 Sep14 ?        00:00:00 [migration/1]
root          21       2  0 Sep14 ?        00:00:00 [ksoftirqd/1]
root          23       2  0 Sep14 ?        00:00:00 [kworker/1:0H-events_highpri]
root          26       2  0 Sep14 ?        00:00:00 [kdevtmpfs]
root          27       2  0 Sep14 ?        00:00:00 [inet_frag_wq]
root          28       2  0 Sep14 ?        00:00:00 [kauditd]
root          29       2  0 Sep14 ?        00:00:00 [khungtaskd]
root          30       2  0 Sep14 ?        00:00:00 [oom_reaper]
root          32       2  0 Sep14 ?        00:00:00 [writeback]
root          33       2  0 Sep14 ?        00:00:02 [kcompactd0]
root          34       2  0 Sep14 ?        00:00:00 [ksmd]
root          36       2  0 Sep14 ?        00:00:01 [khugepaged]
root          37       2  0 Sep14 ?        00:00:00 [kintegrityd]
root          38       2  0 Sep14 ?        00:00:00 [kblockd]
root          39       2  0 Sep14 ?        00:00:00 [blkcg_punt_bio]
root          40       2  0 Sep14 ?        00:00:00 [tpm_dev_wq]
root          41       2  0 Sep14 ?        00:00:00 [edac-poller]
root          42       2  0 Sep14 ?        00:00:00 [devfreq_wq]
root          43       2  0 Sep14 ?        00:00:00 [kworker/1:1H-kblockd]
root          44       2  0 Sep14 ?        00:00:00 [kswapd0]
root          50       2  0 Sep14 ?        00:00:00 [kthrotld]
root          52       2  0 Sep14 ?        00:00:00 [acpi_thermal_pm]
root          54       2  0 Sep14 ?        00:00:00 [mld]
root          55       2  0 Sep14 ?        00:00:00 [ipv6_addrconf]
root          60       2  0 Sep14 ?        00:00:00 [kstrp]
root          65       2  0 Sep14 ?        00:00:00 [zswap-shrink]
root          66       2  0 Sep14 ?        00:00:00 [kworker/u5:0]
root         110       2  0 Sep14 ?        00:00:00 [kworker/0:1H-kblockd]
root         137       2  0 Sep14 ?        00:00:00 [scsi_eh_0]
root         138       2  0 Sep14 ?        00:00:00 [scsi_tmf_0]
