TARGET                                                  SOURCE      FSTYPE      OPTIONS
/                                                       /dev/sda2   ext4        rw,relatime,errors=remount-ro
|-/sys                                                  sysfs       sysfs       rw,nosuid,nodev,noexec,relatime
| |-/sys/kernel/security                                securityfs  securityfs  rw,nosuid,nodev,noexec,relatime
| |-/sys/fs/cgroup                                      cgroup2     cgroup2     rw,nosuid,nodev,noexec,relatime,nsdelegate,memory_recursiveprot
| |-/sys/fs/pstore                                      pstore      pstore      rw,nosuid,nodev,noexec,relatime
| |-/sys/firmware/efi/efivars                           efivarfs    efivarfs    rw,nosuid,nodev,noexec,relatime
| |-/sys/fs/bpf                                         bpf         bpf         rw,nosuid,nodev,noexec,relatime,mode=700
| |-/sys/kernel/debug                                   debugfs     debugfs     rw,nosuid,nodev,noexec,relatime
| |-/sys/kernel/tracing                                 tracefs     tracefs     rw,nosuid,nodev,noexec,relatime
| |-/sys/fs/fuse/connections                            fusectl     fusectl     rw,nosuid,nodev,noexec,relatime
| `-/sys/kernel/config                                  configfs    configfs    rw,nosuid,nodev,noexec,relatime
|-/proc                                                 proc        proc        rw,nosuid,nodev,noexec,relatime
| `-/proc/sys/fs/binfmt_misc                            systemd-1   autofs      rw,relatime,fd=30,pgrp=1,timeout=0,minproto=5,maxproto=5,direct,pipe_ino=12847
|   `-/proc/sys/fs/binfmt_misc                          binfmt_misc binfmt_misc rw,nosuid,nodev,noexec,relatime
|-/dev                                                  udev        devtmpfs    rw,nosuid,relatime,size=1968920k,nr_inodes=492230,mode=755,inode64
| |-/dev/pts                                            devpts      devpts      rw,nosuid,noexec,relatime,gid=5,mode=620,ptmxmode=000
| |-/dev/shm                                            tmpfs       tmpfs       rw,nosuid,nodev,inode64
| |-/dev/hugepages                                      hugetlbfs   hugetlbfs   rw,relatime,pagesize=2M
| `-/dev/mqueue                                         mqueue      mqueue      rw,nosuid,nodev,noexec,relatime
|-/run                                                  tmpfs       tmpfs       rw,nosuid,nodev,noexec,relatime,size=400872k,mode=755,inode64
| |-/run/lock                                           tmpfs       tmpfs       rw,nosuid,nodev,noexec,relatime,size=5120k,inode64
| |-/run/credentials/systemd-sysctl.service             ramfs       ramfs       ro,nosuid,nodev,noexec,relatime,mode=700
| |-/run/credentials/systemd-sysusers.service           ramfs       ramfs       ro,nosuid,nodev,noexec,relatime,mode=700
| |-/run/credentials/systemd-tmpfiles-setup-dev.service ramfs       ramfs       ro,nosuid,nodev,noexec,relatime,mode=700
| |-/run/credentials/systemd-tmpfiles-setup.service     ramfs       ramfs       ro,nosuid,nodev,noexec,relatime,mode=700
| `-/run/user/1000                                      tmpfs       tmpfs       rw,nosuid,nodev,relatime,size=400868k,nr_inodes=100217,mode=700,uid=1000,gid=1000,inode64
`-/boot/efi                                             /dev/sda1   vfat        rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=ascii,shortname=mixed,utf8,errors=remount-ro
