Record #,Time (UTC),Level,Event ID,Provider,Channel,Computer,AvFlags,AvFlagsStr,AvlFlags,AvlFlagsStr,ChannelBindingStatus,ClientIP,ClientNetworkName,DomainName,Hostname,Mic Status,NegotiatedFlags,NtlmUsageId,NtlmUsageReason,NtlmVersion,ProcessName,ProcessPID,RemoteClientMachine,ServiceBinding,SessionKeyStatus,SingleSignOn,Status,StatusMsg,TargetDomain,TargetIP,TargetMachine,TargetNetworkName,TargetService,Username
1,2026-09-08T21:01:26.233668+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
2,2026-09-08T21:01:27.848299+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
3,2026-09-08T21:01:40.343271+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
4,2026-09-08T21:01:40.870380+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
5,2026-09-08T21:01:41.403981+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
6,2026-09-08T21:01:41.811979+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
7,2026-09-08T21:02:01.060058+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
8,2026-09-08T21:02:01.558168+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
9,2026-09-08T21:02:01.940725+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0x23b0,Null,DESKTOP-9VL5A7L,Present,,0x0,0,Not Found,,DESKTOP-9VL5A7L,,,vagrant
10,2026-09-08T21:02:22.143301+00:00,Warning,4021,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,,,0x0,None,Not Supported,,,ANONYMOUS LOGON,WIN-NMVE917FCFR,Unprotected,0xe2888a35,5,The target name was missing or empty.,NTLMv1,powershell,0x424,,Not Found,Present,Single Sign-On,,,Not Found,Null,Not Found,Null,HOST/DESKTOP-9VL5A7L,ANONYMOUS LOGON
11,2026-09-08T21:02:22.148342+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,::1,Null,ANONYMOUS LOGON,,Unprotected,0xe2888a35,,,NTLMv1,svchost (WinRM),0x23b0,WIN-NMVE917FCFR,Not Found,Present,,0x0,0,Not Found,,Not Found,,,ANONYMOUS LOGON
12,2026-09-08T21:02:22.169641+00:00,Warning,4021,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,,,0x0,None,Not Supported,,,ANONYMOUS LOGON,WIN-NMVE917FCFR,Unprotected,0xe2888a35,5,The target name was missing or empty.,NTLMv1,powershell,0x424,,Not Found,Present,Single Sign-On,,,Not Found,Null,Not Found,Null,HOST/DESKTOP-9VL5A7L,ANONYMOUS LOGON
13,2026-09-08T21:02:22.183464+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,DESKTOP-9VL5A7L,0x0,None,,,Not Supported,::1,Null,ANONYMOUS LOGON,,Unprotected,0xe2888a35,,,NTLMv1,svchost (WinRM),0x23b0,WIN-NMVE917FCFR,Not Found,Present,,0x0,0,Not Found,,Not Found,,,ANONYMOUS LOGON
14,2026-09-08T21:59:37.696437+00:00,Warning,4021,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,,,0x0,None,Not Supported,,,ANONYMOUS LOGON,WS02,Unprotected,0xe2888a35,2,Authenticating a Local Account.,NTLMv1,powershell,0x10c0,,Not Found,Present,Single Sign-On,,,Not Found,Null,Not Found,Null,ldap/dc02.core.diogenes.htb/core.diogenes.htb@CORE.DIOGENES.HTB,ANONYMOUS LOGON
15,2026-09-08T22:17:51.604959+00:00,Warning,4021,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,,,0x0,None,Not Supported,,,ANONYMOUS LOGON,WS02,Unprotected,0xe2888a35,2,Authenticating a Local Account.,NTLMv1,powershell,0xfc8,,Not Found,Present,Single Sign-On,,,Not Found,Null,Not Found,Null,ldap/dc02.core.diogenes.htb/core.diogenes.htb@CORE.DIOGENES.HTB,ANONYMOUS LOGON
16,2026-09-08T22:26:11.176566+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd3c,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
17,2026-09-09T19:02:44.269118+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd88,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
18,2026-09-09T19:02:45.031991+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd88,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
19,2026-09-09T19:02:53.846103+00:00,Warning,4023,Microsoft-Windows-NTLM,Microsoft-Windows-NTLM/Operational,ws02.core.diogenes.htb,0x0,None,,,Not Supported,10.0.2.2,Null,Null,,Unprotected,0xe0088235,,,NTLMv2,svchost (WinRM),0xd88,Null,ws02.core.diogenes.htb,Present,,0x0,0,Not Found,,core.diogenes.htb,,,vagrant
